art_id;type;year;title;pages_start;pages_end;booktitle;journal_series;journal_editor;journal_volume;journal_isbn;url
series/class/RossellTJ13;Article;2013;High-Dimensional Bayesian Classifiers Using Non-Local Priors.;305;313;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#RossellTJ13
series/class/Dias13;Article;2013;Latent Class Models of Time Series Data: An Entropic-Based Uncertainty Measure.;205;214;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Dias13
series/class/PorcuS13;Article;2013;The Credit Accumulation Process to Assess the Performances of Degree Programs: An Adjusted Indicator Based on the Result of Entrance Tests.;279;287;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#PorcuS13
series/class/KobargA13;Article;2013;Efficient Spatial Segmentation of Hyper-spectral 3D Volume Data.;95;103;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#KobargA13
series/class/DanielB13;Article;2013;Lifestyle Segmentation Based on Contents of Uploaded Images Versus Ratings of Items.;439;447;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#DanielB13
series/class/TrendtelU13;Article;2013;Convex Optimization as a Tool for Correcting Dissimilarity Matrices for Regular Minimality.;165;174;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#TrendtelU13
series/class/ThommesW13;Article;2013;Multivariate Modelling of Cross-Commodity Price Relations Along the Petrochemical Value Chain.;427;435;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#ThommesW13
series/class/MucciardiB13;Article;2013;Modelling Spatial Variations of Fertility Rate in Italy.;251;259;Classification and Data Mining;;;;;db/series/class/class364228893.html#MucciardiB13
series/class/DancelliMV13;Article;2013;On Two Classes of Weighted Rank Correlation Measures Deriving from the Spearman's ?.;107;114;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#DancelliMV13
series/class/DragoS13;Article;2013;An Approach to Forecasting Beanplot Time Series.;197;205;Classification and Data Mining;;;;;db/series/class/class364228893.html#DragoS13
series/class/KaciakS13;Article;2013;Non-symmetrical Correspondence Analysis of Abbreviated Hard Laddering Interviews.;457;464;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#KaciakS13
series/class/SteckingS13;Article;2013;Symbolic Cluster Representations for SVM in Credit Client Classification Tasks.;353;360;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#SteckingS13
series/class/BenassiBP13;Article;2013;Spatial Data Mining for Clustering: An Application to the Florentine Metropolitan Area Using RedCap.;157;164;Classification and Data Mining;;;;;db/series/class/class364228893.html#BenassiBP13
series/class/GudichaV13;Article;2013;Mixture Model Clustering with Covariates Using Adjusted Three-Step Approaches.;87;94;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#GudichaV13
series/class/XavierXV13;Article;2013;Solving the Minimum Sum of L1 Distances Clustering Problem by Hyperbolic Smoothing and Partition into Boundary and Gravitational Regions.;33;46;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#XavierXV13
series/class/IrpinoGV13;Article;2013;Classification of Data Chunks Using Proximal Vector Machines and Singular Value Decomposition.;55;62;Classification and Data Mining;;;;;db/series/class/class364228893.html#IrpinoGV13
series/class/MakarenkovDN13;Article;2013;A New Effective Method for Elimination of Systematic Error in Experimental High-Throughput Screening.;269;277;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#MakarenkovDN13
series/class/HeikkonenPRT13;Article;2013;Issues on Clustering and Data Gridding.;37;44;Classification and Data Mining;;;;;db/series/class/class364228893.html#HeikkonenPRT13
series/class/Schindler13;Article;2013;User-Generated Content for Image Clustering and Marketing Purposes.;473;480;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Schindler13
series/class/DeldossiP13;Article;2013;Inference on the CUB Model: An MCMC Approach.;19;26;Classification and Data Mining;;;;;db/series/class/class364228893.html#DeldossiP13
series/class/DomenachT13;Article;2013;Implications of Axiomatic Consensus Properties.;59;67;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#DomenachT13
series/class/BoulesteixRB13;Article;2013;Complexity Selection with Cross-validation for Lasso and Sparse Partial Least Squares Using High-Dimensional Data.;261;268;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#BoulesteixRB13
series/class/SarraFBN13;Article;2013;Interpreting Error Measurement: A Case Study Based on Rasch Tree Approach.;325;332;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#SarraFBN13
series/class/EichhoffVW13;Article;2013;Piano and Guitar Tone Distinction Based on Extended Feature Analysis.;215;224;Classification and Data Mining;;;;;db/series/class/class364228893.html#EichhoffVW13
series/class/IrpinoV13;Article;2013;A Metric Based Approach for the Least Square Regression of Multivariate Modal Symbolic Data.;161;169;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#IrpinoV13
series/class/BozdoganHKL13;Article;2013;Misspecification Resistant Model Selection Using Information Complexity with Applications.;165;172;Classification and Data Mining;;;;;db/series/class/class364228893.html#BozdoganHKL13
series/class/GaulW13;Article;2013;Optimal Network Revenue Management Decisions Including Flexible Demand Data and Overbooking.;449;456;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#GaulW13
