art_id;author;pos
series/acvpr/978-1-85233-297-6;Sarunas Raudys;0
series/acvpr/QuinnGT13;George W. Quinn;0
series/acvpr/QuinnGT13;Patrick Grother;1
series/acvpr/QuinnGT13;Elham Tabassi;2
series/acvpr/BurgeM13;Mark J. Burge;0
series/acvpr/BurgeM13;Matthew Monaco;1
series/acvpr/BakerBFP13;Sarah E. Baker;0
series/acvpr/BakerBFP13;Kevin W. Bowyer;1
series/acvpr/BakerBFP13;Patrick J. Flynn;2
series/acvpr/BakerBFP13;P. Jonathon Phillips;3
series/acvpr/Proenca13;Hugo Proen?;0
series/acvpr/978-0-85729-198-1;Stefano Ferilli;0
series/acvpr/978-1-85233-617-2;Gabor T. Herman;0
series/acvpr/PhillipsF13;P. Jonathon Phillips;0
series/acvpr/PhillipsF13;Patrick J. Flynn;1
series/acvpr/978-0-85729-666-5;Cem ?nsalan;0
series/acvpr/978-0-85729-666-5;Kim L. Boyer;1
series/acvpr/978-1-4471-5185-2;Chris Aldrich;0
series/acvpr/978-1-4471-5185-2;Lidia Auret;1
series/acvpr/KumarTSBS13;B. V. K. Vijaya Kumar;0
series/acvpr/KumarTSBS13;Jason Thornton;1
series/acvpr/KumarTSBS13;Marios Savvides;2
series/acvpr/KumarTSBS13;Vishnu Naresh Boddeti;3
series/acvpr/KumarTSBS13;Jonathon M. Smereka;4
series/acvpr/BastysKK13;Algirdas Bastys;0
series/acvpr/BastysKK13;Justas Kranauskas;1
series/acvpr/BastysKK13;Volker Kr?;2
series/acvpr/978-1-4471-4902-6;Michal Haindl;0
series/acvpr/978-1-4471-4902-6;Jir? Filip;1
series/acvpr/978-1-84996-234-6;Marco Alexander Treiber;0
series/acvpr/LuPTL14;Tong Lu;0
series/acvpr/LuPTL14;Shivakumara Palaiahnakote;1
series/acvpr/LuPTL14;Chew Lim Tan;2
series/acvpr/LuPTL14;Wenyin Liu;3
series/acvpr/BabuMS13;T. Ravindra Babu;0
series/acvpr/BabuMS13;M. Narasimha Murty;1
series/acvpr/BabuMS13;S. V. Subrahmanya;2
series/acvpr/BowyerB13;Kevin W. Bowyer;0
series/acvpr/BowyerB13;Mark J. Burge;1
series/acvpr/SchmidZNW13;Natalia A. Schmid;0
series/acvpr/SchmidZNW13;Jinyu Zuo;1
series/acvpr/SchmidZNW13;Francesco Nicolo;2
series/acvpr/SchmidZNW13;Harry Wechsler;3
series/acvpr/KongZK13;Adams Wai-Kin Kong;0
series/acvpr/KongZK13;David Zhang;1
series/acvpr/KongZK13;Mohamed Kamel;2
series/acvpr/978-1-84882-311-2;Nanning Zheng;0
series/acvpr/978-1-84882-311-2;Jianru Xue;1
series/acvpr/PillaiPCR13;Jaishanker K. Pillai;0
series/acvpr/PillaiPCR13;Vishal M. Patel;1
series/acvpr/PillaiPCR13;Rama Chellappa;2
series/acvpr/PillaiPCR13;Nalini K. Ratha;3
series/acvpr/JillelaRBKHPP13;Raghavender R. Jillela;0
series/acvpr/JillelaRBKHPP13;Arun Abraham Ross;1
